Call Id;Agent;Date;Time;Topic;Answered (Y/N);Resolved;Speed of answer in seconds;AvgTalkDuration;Satisfaction rating;Calls Answered (Y);Total Calls Resolved
ID0105;Becky;02.01.2021;0.57900462962963;Technical Support;Y;Y;112;12:03:25 AM;5;Y;
ID0106;Becky;02.01.2021;0.57900462962963;Payment related;Y;Y;65;12:04:57 AM;3;Y;
ID0107;Joe;02.01.2021;0.59900462962963;Streaming;N;N;;;;N;
ID0108;Becky;02.01.2021;0.59900462962963;Contract related;Y;N;55;12:02:32 AM;1;Y;
ID0109;Stewart;02.01.2021;0.62;Admin Support;N;N;;;;N;
ID0110;Joe;02.01.2021;0.62;Streaming;Y;Y;19;12:02:38 AM;2;Y;
ID0111;Becky;02.01.2021;0.63200231481481;Technical Support;Y;Y;53;12:00:56 AM;3;Y;
ID0112;Diane;02.01.2021;0.63200231481481;Technical Support;Y;Y;24;12:06:06 AM;5;Y;
ID0113;Martha;02.01.2021;0.65;Streaming;Y;Y;73;12:06:01 AM;3;Y;
ID0114;Stewart;02.01.2021;0.65;Technical Support;N;N;;;;N;
ID0115;Jim;02.01.2021;0.73400462962963;Technical Support;Y;Y;55;12:05:47 AM;5;Y;
ID0116;Greg;02.01.2021;0.73400462962963;Payment related;N;N;;;;N;
ID0117;Diane;02.01.2021;0.74099537037037;Streaming;N;N;;;;N;
ID0118;Martha;02.01.2021;0.74099537037037;Streaming;Y;Y;23;12:05:18 AM;4;Y;
ID0119;Dan;03.01.2021;0.38200231481481;Payment related;Y;N;124;12:02:23 AM;5;Y;
ID0120;Dan;03.01.2021;0.38200231481481;Contract related;N;N;;;;N;
ID0121;Dan;03.01.2021;0.40799768518519;Technical Support;Y;Y;103;12:01:01 AM;4;Y;
ID0122;Martha;03.01.2021;0.40799768518519;Contract related;Y;Y;69;12:03:45 AM;4;Y;
ID0123;Joe;03.01.2021;0.43700231481481;Streaming;Y;Y;78;12:01:12 AM;3;Y;
ID0124;Martha;03.01.2021;0.43700231481481;Technical Support;Y;Y;78;12:03:26 AM;5;Y;
ID0125;Martha;03.01.2021;0.44299768518519;Technical Support;N;N;;;;N;
ID0126;Diane;03.01.2021;0.44299768518519;Payment related;Y;Y;44;12:05:38 AM;4;Y;
ID0127;Martha;03.01.2021;0.45299768518519;Admin Support;Y;Y;35;12:02:46 AM;4;Y;
ID0128;Becky;03.01.2021;0.45299768518519;Admin Support;Y;Y;102;12:05:26 AM;4;Y;
ID0129;Jim;03.01.2021;0.45299768518519;Contract related;Y;Y;99;12:05:51 AM;3;Y;
ID0130;Jim;03.01.2021;0.45299768518519;Admin Support;Y;Y;29;12:04:09 AM;3;Y;
ID0131;Becky;03.01.2021;0.45700231481481;Admin Support;Y;N;42;12:00:59 AM;5;Y;
ID0132;Diane;03.01.2021;0.45700231481481;Payment related;Y;Y;113;12:05:40 AM;4;Y;
ID0133;Dan;03.01.2021;0.46;Admin Support;Y;Y;124;12:00:53 AM;2;Y;
ID0134;Jim;03.01.2021;0.46;Technical Support;N;N;;;;N;
ID0135;Dan;03.01.2021;0.46099537037037;Payment related;Y;Y;55;12:02:13 AM;1;Y;
ID0136;Greg;03.01.2021;0.46099537037037;Technical Support;Y;N;105;12:05:59 AM;3;Y;
ID0137;Stewart;03.01.2021;0.46299768518519;Contract related;Y;N;112;12:03:12 AM;5;Y;
ID0138;Martha;03.01.2021;0.46299768518519;Contract related;N;N;;;;N;
ID0139;Becky;03.01.2021;0.47;Technical Support;Y;Y;43;12:06:20 AM;5;Y;
ID0140;Joe;03.01.2021;0.47;Payment related;Y;Y;20;12:01:44 AM;3;Y;
ID0141;Greg;03.01.2021;0.47700231481481;Technical Support;Y;Y;84;12:01:43 AM;5;Y;
ID0142;Jim;03.01.2021;0.47700231481481;Contract related;Y;Y;20;12:02:44 AM;4;Y;
ID0143;Greg;03.01.2021;0.485;Streaming;Y;Y;101;12:02:16 AM;3;Y;
ID0144;Diane;03.01.2021;0.485;Technical Support;Y;Y;31;12:02:55 AM;5;Y;
ID0145;Jim;03.01.2021;0.495;Contract related;Y;Y;56;12:04:09 AM;5;Y;
ID0146;Joe;03.01.2021;0.495;Contract related;N;N;;;;N;
ID0147;Joe;03.01.2021;0.49700231481481;Payment related;Y;Y;77;12:01:27 AM;5;Y;
ID0148;Jim;03.01.2021;0.49700231481481;Payment related;Y;Y;46;12:00:50 AM;4;Y;
ID0149;Stewart;03.01.2021;0.49900462962963;Admin Support;Y;Y;88;12:04:26 AM;3;Y;
ID0150;Diane;03.01.2021;0.49900462962963;Payment related;Y;Y;88;12:00:58 AM;1;Y;
ID0151;Joe;03.01.2021;0.52299768518519;Technical Support;Y;Y;124;12:06:03 AM;1;Y;
ID0152;Stewart;03.01.2021;0.52299768518519;Contract related;N;N;;;;N;
ID0153;Martha;03.01.2021;0.53799768518519;Payment related;Y;N;52;12:06:59 AM;4;Y;
ID0154;Joe;03.01.2021;0.53799768518519;Admin Support;Y;Y;67;12:06:10 AM;5;Y;
ID0155;Martha;03.01.2021;0.55;Payment related;Y;Y;119;12:04:16 AM;3;Y;
ID0156;Dan;03.01.2021;0.55;Admin Support;Y;Y;98;12:04:37 AM;2;Y;
ID0157;Jim;03.01.2021;0.55200231481481;Technical Support;N;N;;;;N;
ID0158;Joe;03.01.2021;0.55200231481481;Technical Support;Y;Y;118;12:04:18 AM;3;Y;
ID0159;Becky;03.01.2021;0.56099537037037;Admin Support;Y;Y;123;12:01:15 AM;3;Y;
ID0160;Becky;03.01.2021;0.56099537037037;Streaming;Y;N;86;12:05:37 AM;1;Y;
ID0161;Greg;03.01.2021;0.56599537037037;Admin Support;Y;Y;104;12:02:09 AM;3;Y;
ID0162;Greg;03.01.2021;0.56599537037037;Payment related;Y;Y;69;12:01:33 AM;2;Y;
ID0163;Dan;03.01.2021;0.58200231481481;Contract related;Y;Y;113;12:02:38 AM;1;Y;
ID0164;Joe;03.01.2021;0.58200231481481;Streaming;Y;Y;88;12:03:23 AM;5;Y;
ID0165;Joe;03.01.2021;0.58200231481481;Streaming;N;N;;;;N;
ID0166;Stewart;03.01.2021;0.58200231481481;Payment related;N;N;;;;N;
ID0167;Joe;03.01.2021;0.58599537037037;Payment related;Y;Y;84;12:00:58 AM;2;Y;
ID0168;Diane;03.01.2021;0.58599537037037;Streaming;Y;Y;113;12:01:22 AM;3;Y;
ID0169;Joe;03.01.2021;0.61599537037037;Streaming;Y;Y;38;12:05:31 AM;4;Y;
ID0170;Dan;03.01.2021;0.61599537037037;Streaming;Y;Y;14;12:06:14 AM;4;Y;
ID0171;Martha;03.01.2021;0.64900462962963;Streaming;Y;N;25;12:05:32 AM;4;Y;
ID0172;Dan;03.01.2021;0.64900462962963;Contract related;N;N;;;;N;
ID0173;Diane;03.01.2021;0.68700231481481;Technical Support;N;N;;;;N;
ID0174;Joe;03.01.2021;0.68700231481481;Payment related;Y;Y;117;12:02:07 AM;4;Y;
ID0175;Stewart;03.01.2021;0.73;Payment related;Y;N;57;12:06:01 AM;2;Y;
ID0176;Martha;03.01.2021;0.73;Technical Support;Y;Y;119;12:05:19 AM;5;Y;
ID0177;Martha;04.01.2021;0.37599537037037;Contract related;N;N;;;;N;
ID0178;Diane;04.01.2021;0.37599537037037;Streaming;Y;Y;93;12:06:32 AM;5;Y;
ID0179;Martha;04.01.2021;0.39700231481481;Payment related;Y;Y;86;12:01:04 AM;4;Y;
ID0180;Joe;04.01.2021;0.39700231481481;Streaming;N;N;;;;N;
ID0181;Dan;04.01.2021;0.405;Contract related;Y;Y;92;12:02:59 AM;3;Y;
ID0182;Greg;04.01.2021;0.405;Streaming;N;N;;;;N;
ID0183;Martha;04.01.2021;0.41900462962963;Technical Support;Y;Y;106;12:05:42 AM;3;Y;
ID0184;Stewart;04.01.2021;0.41900462962963;Technical Support;Y;Y;67;12:02:44 AM;3;Y;
ID0185;Jim;04.01.2021;0.43599537037037;Streaming;Y;Y;90;12:04:17 AM;3;Y;
ID0186;Diane;04.01.2021;0.43599537037037;Technical Support;N;N;;;;N;
ID0187;Becky;04.01.2021;0.465;Streaming;Y;N;50;12:03:49 AM;4;Y;
ID0188;Diane;04.01.2021;0.465;Admin Support;Y;N;89;12:04:16 AM;3;Y;
ID0189;Jim;04.01.2021;0.46799768518519;Admin Support;Y;Y;74;12:06:18 AM;3;Y;
ID0190;Martha;04.01.2021;0.46799768518519;Payment related;Y;Y;63;12:02:22 AM;2;Y;
ID0191;Becky;04.01.2021;0.47099537037037;Contract related;Y;Y;45;12:06:31 AM;5;Y;
ID0192;Martha;04.01.2021;0.47099537037037;Technical Support;N;N;;;;N;
ID0193;Dan;04.01.2021;0.47400462962963;Payment related;Y;Y;31;12:06:43 AM;2;Y;
ID0194;Joe;04.01.2021;0.47400462962963;Streaming;N;N;;;;N;
ID0195;Joe;04.01.2021;0.48099537037037;Contract related;Y;Y;43;12:03:44 AM;5;Y;
ID0196;Martha;04.01.2021;0.48099537037037;Streaming;Y;Y;50;12:05:42 AM;4;Y;
ID0197;Dan;04.01.2021;0.50200231481481;Technical Support;Y;Y;48;12:05:12 AM;4;Y;
ID0198;Martha;04.01.2021;0.50200231481481;Admin Support;Y;Y;113;12:02:44 AM;5;Y;
ID0199;Jim;04.01.2021;0.51099537037037;Streaming;N;N;;;;N;
ID0200;Joe;04.01.2021;0.51099537037037;Technical Support;Y;Y;103;12:06:40 AM;5;Y;
ID0201;Becky;04.01.2021;0.51099537037037;Technical Support;Y;N;95;12:04:27 AM;3;Y;
ID0202;Joe;04.01.2021;0.51099537037037;Admin Support;Y;Y;30;12:05:04 AM;1;Y;
ID0203;Greg;04.01.2021;0.56400462962963;Admin Support;Y;Y;124;12:03:19 AM;3;Y;
ID0204;Diane;04.01.2021;0.56400462962963;Admin Support;Y;Y;17;12:02:03 AM;5;Y;
ID0205;Stewart;04.01.2021;0.57299768518519;Streaming;Y;Y;113;12:06:00 AM;3;Y;
ID0206;Jim;04.01.2021;0.57299768518519;Technical Support;Y;Y;25;12:02:27 AM;5;Y;
ID0207;Jim;04.01.2021;0.58099537037037;Admin Support;Y;Y;52;12:04:22 AM;5;Y;
ID0208;Dan;04.01.2021;0.58099537037037;Admin Support;Y;Y;28;12:02:44 AM;5;Y;
ID0209;Greg;04.01.2021;0.60099537037037;Technical Support;Y;Y;69;12:03:05 AM;3;Y;
ID0210;Martha;04.01.2021;0.60099537037037;Streaming;Y;Y;106;12:03:52 AM;3;Y;
ID0211;Jim;04.01.2021;0.60299768518519;Technical Support;N;N;;;;N;
ID0212;Joe;04.01.2021;0.60299768518519;Payment related;Y;Y;26;12:04:59 AM;3;Y;
ID0213;Joe;04.01.2021;0.605;Payment related;Y;Y;53;12:05:55 AM;4;Y;
ID0214;Martha;04.01.2021;0.605;Technical Support;Y;Y;77;12:04:10 AM;2;Y;
ID0215;Jim;04.01.2021;0.61799768518519;Contract related;Y;Y;45;12:03:02 AM;3;Y;
ID0216;Becky;04.01.2021;0.61799768518519;Technical Support;N;N;;;;N;
ID0217;Greg;04.01.2021;0.64099537037037;Streaming;Y;Y;56;12:04:16 AM;4;Y;
ID0218;Stewart;04.01.2021;0.64099537037037;Admin Support;Y;Y;13;12:03:56 AM;2;Y;
ID0219;Stewart;04.01.2021;0.65900462962963;Admin Support;Y;Y;120;12:06:50 AM;5;Y;
ID0220;Diane;04.01.2021;0.65900462962963;Payment related;Y;Y;22;12:00:50 AM;1;Y;
ID0221;Martha;04.01.2021;0.7;Payment related;Y;Y;81;12:03:21 AM;4;Y;
ID0222;Jim;04.01.2021;0.7;Streaming;N;N;;;;N;
ID0223;Martha;04.01.2021;0.70099537037037;Contract related;Y;Y;71;12:00:48 AM;2;Y;
ID0224;Stewart;04.01.2021;0.70099537037037;Payment related;Y;Y;75;12:01:33 AM;4;Y;
ID0225;Martha;04.01.2021;0.70099537037037;Technical Support;Y;Y;77;12:02:42 AM;4;Y;
ID0226;Joe;04.01.2021;0.70099537037037;Streaming;Y;Y;88;12:06:27 AM;4;Y;
ID0227;Stewart;04.01.2021;0.73299768518519;Admin Support;Y;Y;82;12:03:05 AM;2;Y;
ID0228;Jim;04.01.2021;0.73299768518519;Technical Support;Y;Y;110;12:06:30 AM;3;Y;
ID0229;Martha;04.01.2021;0.73599537037037;Admin Support;Y;N;70;12:01:32 AM;3;Y;
ID0230;Becky;04.01.2021;0.73599537037037;Admin Support;Y;Y;117;12:03:40 AM;3;Y;
ID0231;Joe;05.01.2021;0.38099537037037;Streaming;Y;Y;18;12:00:50 AM;3;Y;
ID0232;Joe;05.01.2021;0.38099537037037;Streaming;Y;Y;113;12:02:36 AM;4;Y;
ID0233;Stewart;05.01.2021;0.39299768518519;Contract related;Y;N;68;12:03:29 AM;5;Y;
ID0234;Greg;05.01.2021;0.39299768518519;Payment related;Y;Y;67;12:04:14 AM;5;Y;
ID0235;Joe;05.01.2021;0.39799768518519;Technical Support;Y;Y;36;12:01:07 AM;5;Y;
ID0236;Stewart;05.01.2021;0.39799768518519;Streaming;N;N;;;;N;
ID0237;Becky;05.01.2021;0.41700231481481;Technical Support;Y;Y;33;12:02:30 AM;1;Y;
ID0238;Dan;05.01.2021;0.41700231481481;Contract related;Y;Y;113;12:01:59 AM;5;Y;
ID0239;Greg;05.01.2021;0.45099537037037;Contract related;Y;Y;106;12:06:19 AM;3;Y;
ID0240;Joe;05.01.2021;0.45099537037037;Streaming;Y;Y;23;12:04:59 AM;3;Y;
ID0241;Joe;05.01.2021;0.48;Streaming;N;N;;;;N;
ID0242;Greg;05.01.2021;0.48;Payment related;Y;Y;11;12:04:42 AM;1;Y;
ID0243;Greg;05.01.2021;0.48700231481481;Contract related;Y;Y;73;12:04:45 AM;5;Y;
ID0244;Dan;05.01.2021;0.48700231481481;Admin Support;Y;Y;109;12:04:49 AM;5;Y;
ID0245;Martha;05.01.2021;0.49299768518519;Payment related;Y;Y;29;12:04:14 AM;4;Y;
ID0246;Dan;05.01.2021;0.49299768518519;Streaming;N;N;;;;N;
ID0247;Becky;05.01.2021;0.49299768518519;Admin Support;Y;Y;81;12:01:14 AM;4;Y;
ID0248;Greg;05.01.2021;0.49299768518519;Contract related;Y;Y;59;12:03:52 AM;1;Y;
ID0249;Becky;05.01.2021;0.5;Streaming;Y;Y;32;12:06:29 AM;4;Y;
ID0250;Martha;05.01.2021;0.5;Admin Support;Y;Y;116;12:00:42 AM;4;Y;
ID0251;Diane;05.01.2021;0.50900462962963;Payment related;Y;Y;92;12:01:55 AM;5;Y;
ID0252;Greg;05.01.2021;0.50900462962963;Streaming;Y;Y;62;12:06:02 AM;5;Y;
ID0253;Joe;05.01.2021;0.545;Payment related;Y;Y;83;12:01:53 AM;5;Y;
ID0254;Joe;05.01.2021;0.545;Admin Support;Y;Y;71;12:02:31 AM;3;Y;
ID0255;Greg;05.01.2021;0.58299768518519;Admin Support;Y;N;74;12:04:32 AM;3;Y;
ID0256;Joe;05.01.2021;0.58299768518519;Technical Support;Y;Y;96;12:05:46 AM;4;Y;
ID0257;Diane;05.01.2021;0.61299768518519;Admin Support;Y;Y;110;12:01:41 AM;1;Y;
ID0258;Jim;05.01.2021;0.61299768518519;Streaming;Y;N;110;12:02:38 AM;3;Y;
ID0259;Dan;05.01.2021;0.63799768518519;Technical Support;Y;Y;117;12:03:03 AM;4;Y;
ID0260;Becky;05.01.2021;0.63799768518519;Admin Support;Y;Y;44;12:05:53 AM;3;Y;
ID0261;Diane;05.01.2021;0.63900462962963;Contract related;Y;Y;47;12:06:02 AM;4;Y;
ID0262;Greg;05.01.2021;0.63900462962963;Admin Support;Y;Y;97;12:01:16 AM;3;Y;
ID0263;Greg;05.01.2021;0.64700231481481;Streaming;Y;Y;67;12:02:39 AM;4;Y;
ID0264;Diane;05.01.2021;0.64700231481481;Streaming;Y;Y;72;12:06:48 AM;3;Y;
ID0265;Becky;05.01.2021;0.64700231481481;Contract related;Y;Y;68;12:04:21 AM;3;Y;
ID0266;Joe;05.01.2021;0.64700231481481;Payment related;Y;Y;98;12:06:22 AM;5;Y;
ID0267;Joe;05.01.2021;0.65099537037037;Streaming;Y;Y;120;12:00:56 AM;3;Y;
ID0268;Dan;05.01.2021;0.65099537037037;Payment related;Y;Y;13;12:02:33 AM;1;Y;
ID0269;Jim;05.01.2021;0.65599537037037;Admin Support;Y;Y;95;12:01:47 AM;5;Y;
ID0270;Martha;05.01.2021;0.65599537037037;Payment related;Y;Y;31;12:00:42 AM;5;Y;
ID0271;Dan;05.01.2021;0.67099537037037;Streaming;Y;Y;113;12:06:22 AM;3;Y;
ID0272;Martha;05.01.2021;0.67099537037037;Technical Support;Y;Y;116;12:04:40 AM;3;Y;
ID0273;Martha;05.01.2021;0.67799768518519;Admin Support;Y;N;94;12:05:29 AM;5;Y;
ID0274;Martha;05.01.2021;0.67799768518519;Admin Support;Y;N;51;12:04:42 AM;4;Y;
ID0275;Diane;05.01.2021;0.68599537037037;Technical Support;Y;Y;60;12:04:07 AM;4;Y;
ID0276;Diane;05.01.2021;0.68599537037037;Contract related;Y;Y;59;12:06:04 AM;2;Y;
ID0277;Stewart;05.01.2021;0.72599537037037;Technical Support;N;N;;;;N;
ID0278;Greg;05.01.2021;0.72599537037037;Payment related;N;N;;;;N;
ID0279;Joe;05.01.2021;0.72900462962963;Technical Support;N;N;;;;N;
